('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         844682 function calls (820384 primitive calls) in 2.352 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    85526    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
73760/67933    0.010    0.000    0.011    0.000 {built-in method builtins.len}
56215/56197    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
    26298    0.007    0.000    0.010    0.000 _parser.py:168(__getitem__)
    25280    0.020    0.000    0.020    0.000 {method 'match' of 're.Pattern' objects}
    23405    0.003    0.000    0.003    0.000 {method 'append' of 'bytearray' objects}
    22644    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
    20607    0.004    0.000    0.004    0.000 _parser.py:240(__next)
    20030    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
    17198    0.004    0.000    0.004    0.000 {method 'endswith' of 'str' objects}
    14976    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    14900    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    14593    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
    13570    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    12901    0.004    0.000    0.007    0.000 _parser.py:261(get)
    11392    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
    11340    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
    10903    0.005    0.000    0.008    0.000 _markupbase.py:44(updatepos)
    10629    0.003    0.000    0.004    0.000 _parser.py:256(match)
     8405    0.001    0.000    0.001    0.000 typing.py:2182(cast)
     8242    0.007    0.000    0.007    0.000 element.py:376(setup)
     8186    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
     8094    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
     7632    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6890    0.003    0.000    0.004    0.000 _parser.py:176(append)
     6876    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
6203/6165    0.003    0.000    0.017    0.000 typing.py:392(inner)
     5965    0.001    0.000    0.007    0.000 __init__.py:122(unescape)
     5716    0.007    0.000    0.030    0.000 __init__.py:826(endData)
     5676    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     5591    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     5338    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
 5117/196    0.016    0.000    0.036    0.000 _compiler.py:37(_compile)
 5073/386    0.006    0.000    0.009    0.000 _parser.py:178(getwidth)
 4579/234    0.023    0.000    0.068    0.000 _parser.py:512(_parse)
     4329    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     4278    0.000    0.000    0.000    0.000 element.py:2219(__bool__)
     4191    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
3940/3939    0.001    0.000    0.006    0.000 {built-in method builtins.next}
3907/3700    0.006    0.000    0.009    0.000 {built-in method __new__ of type object at 0x00007FFA3F7958F0}
     3549    0.001    0.000    0.002    0.000 _parser.py:293(tell)
     3545    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     3167    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     3115    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     2988    0.016    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     2986    0.001    0.000    0.001    0.000 element.py:2763(descendants)
     2965    0.001    0.000    0.004    0.000 filter.py:717(match)
     2899    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2841    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2835    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     2783    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
     2755    0.003    0.000    0.005    0.000 __init__.py:732(string_container)
     2755    0.004    0.000    0.010    0.000 __init__.py:867(object_was_parsed)
     2755    0.004    0.000    0.007    0.000 element.py:1291(__new__)
     2733    0.003    0.000    0.029    0.000 _htmlparser.py:204(handle_endtag)
     2732    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     2732    0.007    0.000    0.026    0.000 element.py:1618(__init__)
     2732    0.004    0.000    0.005    0.000 __init__.py:809(pushTag)
     2732    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     2731    0.009    0.000    0.056    0.000 __init__.py:987(handle_starttag)
     2731    0.023    0.000    0.123    0.000 parser.py:301(parse_starttag)
     2731    0.003    0.000    0.003    0.000 __init__.py:786(popTag)
     2731    0.002    0.000    0.008    0.000 parser.py:345(check_for_whole_start_tag)
     2731    0.010    0.000    0.015    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2731    0.007    0.000    0.066    0.000 _htmlparser.py:142(handle_starttag)
     2731    0.001    0.000    0.001    0.000 element.py:1812(is_empty_element)
     2731    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     2730    0.004    0.000    0.009    0.000 __init__.py:950(_popToTag)
     2730    0.002    0.000    0.026    0.000 __init__.py:1053(handle_endtag)
     2709    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     2656    0.001    0.000    0.003    0.000 _htmlparser.py:222(handle_data)
     2578    0.007    0.000    0.039    0.000 parser.py:379(parse_endtag)
     2578    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     2481    0.001    0.000    0.003    0.000 css_parser.py:307(match)
     2310    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     2244    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     2049    0.001    0.000    0.002    0.000 typing.py:1161(_is_dunder)
     2046    0.003    0.000    0.004    0.000 __init__.py:91(_replace_charref)
     1813    0.002    0.000    0.003    0.000 typing.py:1215(__setattr__)
     1753    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
1719/1352    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1674    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1674    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1602    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1545    0.001    0.000    0.002    0.000 filter.py:538(matches_tag)
     1510    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1449    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     1440    0.002    0.000    0.002    0.000 __init__.py:906(_linkage_fixer)
     1273    0.001    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1273    0.075    0.000    0.075    0.000 {built-in method nt.stat}
     1211    0.000    0.000    0.000    0.000 typing.py:1279(__eq__)
 1137/196    0.006    0.000    0.069    0.000 _parser.py:452(_parse_sub)
     1085    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     1032    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1014    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      991    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      943    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      943    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      936    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      894    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      894    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      887    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
  884/877    0.010    0.000    0.072    0.000 {built-in method builtins.__build_class__}
      862    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      844    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
      823    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      821    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      806    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      801    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      786    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      769    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      767    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      753    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      747    0.002    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
      712    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      703    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
      699    0.000    0.000    0.000    0.000 _synchronization.py:243(__enter__)
      699    0.000    0.000    0.000    0.000 _synchronization.py:247(__exit__)
      695    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
