('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         1282421 function calls (1258193 primitive calls) in 7.566 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
      313    1.028    0.003    1.028    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.502    0.502    0.502    0.502 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      892    0.053    0.000    0.053    0.000 {built-in method nt.stat}
      168    0.052    0.000    0.052    0.000 {built-in method _io.open_code}
     5462    0.046    0.000    0.255    0.000 parser.py:301(parse_starttag)
    47583    0.037    0.000    0.037    0.000 {method 'match' of 're.Pattern' objects}
        4    0.033    0.008    0.410    0.103 parser.py:134(goahead)
     5462    0.031    0.000    0.041    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
 4759/198    0.028    0.000    0.079    0.000 _parser.py:512(_parse)
        1    0.024    0.024    0.024    0.024 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.021    0.021    0.021    0.021 {method 'connect' of '_socket.socket' objects}
      168    0.020    0.000    0.020    0.000 {built-in method marshal.loads}
     5462    0.018    0.000    0.121    0.000 __init__.py:987(handle_starttag)
     5358    0.018    0.000    0.062    0.000 element.py:2528(_format_tag)
   123014    0.018    0.000    0.018    0.000 {method 'append' of 'list' objects}
 5521/190    0.017    0.000    0.041    0.000 _compiler.py:37(_compile)
        1    0.016    0.016    0.016    0.016 {built-in method _socket.getaddrinfo}
     8914    0.015    0.000    0.036    0.000 formatter.py:138(substitute)
     5462    0.015    0.000    0.142    0.000 _htmlparser.py:142(handle_starttag)
    11432    0.014    0.000    0.059    0.000 __init__.py:826(endData)
     10/8    0.014    0.001    0.016    0.002 {built-in method _imp.create_dynamic}
     5464    0.014    0.000    0.062    0.000 element.py:1618(__init__)
      228    0.014    0.000    0.117    0.001 {method 'read' of '_io.BufferedReader' objects}
99697/99689    0.013    0.000    0.013    0.000 {built-in method builtins.isinstance}
        1    0.013    0.013    0.115    0.115 element.py:2334(decode)
     5156    0.012    0.000    0.076    0.000 parser.py:379(parse_endtag)
     2309    0.012    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
    16484    0.011    0.000    0.011    0.000 element.py:376(setup)
87899/81596    0.011    0.000    0.012    0.000 {built-in method builtins.len}
    16362    0.011    0.000    0.011    0.000 {method 'search' of 're.Pattern' objects}
    27969    0.010    0.000    0.010    0.000 {method 'group' of 're.Match' objects}
     5460    0.009    0.000    0.018    0.000 __init__.py:950(_popToTag)
    21806    0.009    0.000    0.016    0.000 _markupbase.py:44(updatepos)
     5510    0.008    0.000    0.019    0.000 __init__.py:867(object_was_parsed)
    29582    0.008    0.000    0.012    0.000 _parser.py:168(__getitem__)
     8114    0.008    0.000    0.021    0.000 element.py:2456(_event_stream)
    10049    0.008    0.000    0.016    0.000 {method 'sub' of 're.Pattern' objects}
    16192    0.008    0.000    0.008    0.000 {method 'count' of 'str' objects}
     5464    0.007    0.000    0.009    0.000 __init__.py:809(pushTag)
     5510    0.007    0.000    0.014    0.000 element.py:1291(__new__)
    33223    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
      901    0.007    0.000    0.011    0.000 _compiler.py:243(_optimize_charset)
     5466    0.007    0.000    0.057    0.000 _htmlparser.py:204(handle_endtag)
  556/551    0.007    0.000    0.061    0.000 {built-in method builtins.__build_class__}
 1270/190    0.007    0.000    0.080    0.000 _parser.py:452(_parse_sub)
6168/6139    0.006    0.000    0.008    0.000 {built-in method __new__ of type object at 0x00007FFA3F7958F0}
     8919    0.006    0.000    0.006    0.000 element.py:84(__getattr__)
     5510    0.006    0.000    0.010    0.000 __init__.py:732(string_container)
    26133    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
    29434    0.006    0.000    0.006    0.000 {method 'lower' of 'str' objects}
 5468/371    0.006    0.000    0.009    0.000 _parser.py:178(getwidth)
     5462    0.006    0.000    0.007    0.000 __init__.py:786(popTag)
11449/11424    0.005    0.000    0.012    0.000 typing.py:392(inner)
    16688    0.005    0.000    0.009    0.000 _parser.py:261(get)
    25504    0.005    0.000    0.005    0.000 _parser.py:240(__next)
     4092    0.005    0.000    0.007    0.000 __init__.py:91(_replace_charref)
       39    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    29316    0.005    0.000    0.005    0.000 {method 'end' of 're.Match' objects}
13409/13341    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
     5462    0.005    0.000    0.017    0.000 parser.py:345(check_for_whole_start_tag)
     5460    0.005    0.000    0.050    0.000 __init__.py:1053(handle_endtag)
    13551    0.005    0.000    0.006    0.000 element.py:1812(is_empty_element)
        1    0.004    0.004    0.050    0.050 dammit.py:128(_populate_class_variables)
        1    0.004    0.004    0.004    0.004 {method 'write' of '_io.TextIOWrapper' objects}
     4489    0.004    0.000    0.004    0.000 {method 'findall' of 're.Pattern' objects}
      464    0.004    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     2880    0.004    0.000    0.004    0.000 __init__.py:906(_linkage_fixer)
    16464    0.004    0.000    0.004    0.000 {method 'endswith' of 'str' objects}
     8869    0.004    0.000    0.008    0.000 dammit.py:355(substitute_xml)
     2731    0.004    0.000    0.008    0.000 formatter.py:170(attributes)
